,a,b,c,d
2018-01-01,1.2759728538595825,1.714974502646013,-0.007286658920649066,0.6294363768336398
2018-01-02,4.008584405287523,1.6114876383474184,-0.27930782574411794,1.8073093221200849
2018-01-03,4.5597633129338515,1.8558244778663757,-1.445769594840988,2.894123863226417
2018-01-04,3.7382886171309964,3.5078294280529345,-1.4775288171514114,4.134764179312631
2018-01-05,4.047156802520325,2.222529968076313,-2.277385778812806,4.003235495090798
2018-01-06,3.408888225224373,2.1916180251992428,-1.9553788610554932,4.350415498301018
2018-01-07,2.7763995675081836,0.7112620509883036,-2.7570784124019734,4.144101837609706
2018-01-08,3.7329813305882364,0.681954934487981,-1.5663430814695949,2.6308293735721735
2018-01-09,4.978065360391598,1.414585001680173,-2.8202129259701616,1.1641787752124215
2018-01-10,4.301272265208254,2.1102302404736686,-3.049229671607204,0.7839830903448851
2018-01-11,5.355070514117282,0.22672528035154293,-2.8304226558474275,-0.0899201741281056
2018-01-12,3.9954904019789366,-0.30644943510341693,-2.6266216627600865,-1.710281892241158
2018-01-13,3.9361172315066164,-0.6432262297435953,-0.8421474165581142,-1.663118934468168
2018-01-14,2.9464430276643365,-0.9869005790595222,0.7279948592968359,-2.8592656312993645
2018-01-15,3.667869183502778,-0.49863532801713467,1.4102843098943638,-2.405934112953756
2018-01-16,3.1894727375047096,-0.43061190266166827,1.3560665328491524,-3.8303831879145758
2018-01-17,4.091414749074123,-0.12467593867434018,0.5738716662337767,-2.860871953889133
2018-01-18,3.6848207774860664,0.7038785405747034,0.8914623144105513,-2.1732001909359586
2018-01-19,3.4662131938187684,-0.09802758166542935,1.4373501526702022,-2.8124090515564193
2018-01-20,1.7709824314782476,0.29633241460769016,1.0548863771380965,-2.7453664601768786
2018-01-21,0.6526973016465991,0.5370424323430223,-0.4009244251066817,-4.589226016333418
2018-01-22,1.1077499914860647,-0.16589016332616524,-0.09315586349878213,-4.4145812534365
2018-01-23,1.845329830126722,-0.15723027605329204,0.8649635939740505,-4.645557654247785
2018-01-24,2.6098245874599906,-0.035357135398287956,0.8234824523123195,-4.461384206417787
2018-01-25,-0.09267237733433609,1.1771651452761418,-0.38397152898576603,-4.060669201147938
2018-01-26,-0.4480798381236177,1.0657674214358037,0.2092577506663127,-2.244449842456254
2018-01-27,-1.357721751357173,1.2543260142736778,-0.3965290739840477,-2.0663890498348936
2018-01-28,0.4146003055424967,0.9926402520902478,-0.19129589490264834,-2.732125015184325
2018-01-29,1.4766673039172464,0.8905111396160096,-0.29258898827694835,-1.8240524904551707
2018-01-30,1.2717648641680406,1.5900674031506556,-0.4352966920504129,-0.5680169943026421
2018-01-31,1.5657638452543015,1.1570544171910355,-0.723016835571721,0.949566003084622
2018-02-01,2.390083237504385,1.5223628043791506,-2.731145101357741,3.7490158177461153
2018-02-02,1.375801551398443,1.1426268634891017,-3.3654520065800115,4.095861935465305
2018-02-03,1.140822994886436,1.507488779082863,-2.247623862562209,3.975850688025477
2018-02-04,2.351070073419082,3.7094151213609896,-2.5987465502568194,4.596714850229505
2018-02-05,1.8916151165000055,3.5938120136058993,-3.938329912267924,4.1911759764622
2018-02-06,2.8521466720593027,3.619794876615876,-2.7568710114738817,3.6818937919071475
2018-02-07,3.9395963221466337,3.2217440053002018,-2.5159725678334963,2.076569411534436
2018-02-08,5.411594025037475,3.8699682078114583,-2.213723948414556,2.692945352134121
